id;start_date;end_date;language
1;2020-11-14T15:34:55;2020-11-14T13:25:10;SPANISH
2;2020-11-13T20:25:06;2020-11-14T15:29:31;SPANISH
3;2020-11-14T11:20:25;2020-11-13T21:54:34;FRENCH
4;2020-11-14T02:37:56;2020-11-14T14:09:22;FRENCH
5;2020-11-14T12:08:14;2020-11-14T16:55:13;FRENCH
6;2020-11-14T06:00:35;2020-11-14T18:08:49;FRENCH
7;2020-11-14T07:45:55;2020-11-14T01:36:46;FRENCH
8;2020-11-14T06:42:08;2020-11-14T16:58:16;SPANISH
9;2020-11-14T05:23:17;2020-11-14T02:04:40;SPANISH
10;2020-11-14T13:35:21;2020-11-14T00:09:51;SPANISH
